calificacion,comentarios
6,Pesimo servicio en la agencia 
,Nuevos 
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
,Se envia whatsapp
10,"Solo califica, sin comentarios "
,Se envia whatsapp
9,Nos tardaron más de 1 hora en recibir y no nos decían nada hasta que tuve que preguntar a la oficial
,Se envia whatsapp
10,"Solo califica, sin comentarios "
10,"Solo califica, sin comentarios "
,Se envia whatsapp
10,"Solo califica, sin comentarios "
,Se envia whatsapp
,Se envia whatsapp
10,"Solo califica, sin comentarios "
10,"Solo califica, sin comentarios "
,Se envia whatsapp
6,"Solo califica, sin comentarios "
10,"Solo califica, sin comentarios "
10,"Solo califica, sin comentarios "
,Se envia whatsapp
10,"Solo califica, sin comentarios "
10,"Solo califica, sin comentarios "
6,"Solo califica, sin comentarios "
8,Hace falta más comunicación con los asesores no contestan hasta 1_2 días después no contestan llamadas
,Se envia whatsapp
,Se envia whatsapp
8,no lo quisieron recibir 
,Se envia whatsapp
10,"Solo califica, sin comentarios "
8,"Solo califica, sin comentarios "
,Se envia whatsapp
,Se envia whatsapp
10,"Solo califica, sin comentarios "
10,"Solo califica, sin comentarios "
10,"Solo califica, sin comentarios "
,Se envia whatsapp
,Se envia whatsapp
6,El asesor que me tocó muy mala atención la verdad y el trabajo que me hicieron en mi carro muy mal
,Flotilla
,Se envia whatsapp
,no contesta 
,Se envia whatsapp
,Se envia whatsapp
8 10,"La recepción del vehículo bien, puntualidad en recepción y entrega. Lo único que me gustaría consideraran es no dejar la basura de los empaques de las refacciones que se cambiaron, me las dejaron al interior de mi vehículo sobre el asiento de copiloto , por otro lado , siento que me entregaron muy rápido y me dijeron que ya me podía retirar y había un auto frente a mí por lo cual no podía salir y no había nadie que estuviera al pendiente. Simplemente me entregaron el vehículo y se olvidaron de mi. Hasta que alguien vio que necesitaba salir y me ayudaron a mover el coche. "
,Se envia whatsapp
6,"Existe una situación complicada, ya que me entregaron mi camioneta, con una pantalla rota y dañada"
10,"Solo califica, sin comentarios "
,Se envia whatsapp
10,"Solo califica, sin comentarios "
,Se envia whatsapp
8,"La misma aplicacion me cambio la fecha que habia programado, por eso, di esa calificación Hice una cita por Internet, me llamaron para decirme que la página estaba mal, me cambiaron la cita, di una fecha que fue el 7 de enero para llevar el vehículo y despues me llegaron mensajes de que mi cita estaba agendada para el 6"
10,"Solo califica, sin comentarios "
10,"Solo califica, sin comentarios "
,"No califica, pendiente por envío de cotización por parte del asesor "
,Ventas 
,HyP
,HyP
,HyP
,HyP
,HyP
,HyP
,HyP
,Se envia whatsapp
,Ventas 
10,"Solo califica, sin comentarios "
,Se envia whatsapp
10,"Solo califica, sin comentarios "
6,Pedí que se cambiará el filtro de cabina y los wipers y no se hizo y no hubo contacto ni nada con el asesor
8,"Solo califica, sin comentarios "
10,"Solo califica, sin comentarios "
10,"Solo califica, sin comentarios "
10,"Solo califica, sin comentarios "
,Se envia whatsapp
,Sin contacto del cliente 
,Sin contacto del cliente 
,Sin contacto del cliente 
,Sin contacto del cliente 
,Sin contacto del cliente 
,Sin contacto del cliente 
,Sin contacto del cliente 
,Se envia whatsapp
6,Pesimo servicio en la agencia 
,Sin contacto del cliente 
,Se envia whatsapp
,Sin contacto del cliente 
,Se envia whatsapp
6,"El servicio estuvo deficiente y no se hizo al 100% siendo que lo pague completo, la atención pésima e incluso me sugirieron el cambio de algunas cosas mismas que acepte que se las cambiaran pese a que me dijeron que me enviarían la cotización el mismo día que entro la unidad y si no es porque se los pedí al día siguiente nuevamente no me lo envían, me envían una cotización de otra unidad, les notifico y me envían por fin la de mi unidad"
,Se envia whatsapp
10,"Solo califica, sin comentarios "
,Se envia whatsapp
,Se envia whatsapp
10,"Solo califica, sin comentarios "
,Se envia whatsapp
10,Muy bien 
