calificacion,comentarios
6,pesimo servicio en la agencia
10,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
6,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
6,"solo califica, sin comentarios"
8,no lo quisieron recibir
10,"solo califica, sin comentarios"
8,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
8,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
6,pesimo servicio en la agencia
10,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
10,muy bien
6,unidad se entrego sucia
6,"el servicio pesimo, atencion nefasta"
6,"solo califica, sin comentarios"
6,no me han resuelto mi problema
10,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
8,muy probable pero carisimo
10,"solo califica, sin comentarios"
8,"solo califica, sin comentarios"
6,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
8,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
6,se envia whatsapp
8,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
6,"solo califica, sin comentarios"
8,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
10,excelente muchas gracias
10,"solo califica, sin comentarios"
8,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
6,reporto la guantera rota
10,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
8,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
8,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
8,aun esta en el distribuidor
10,todo muy bien
10,todo estuvo perfecto
10,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
8,"solo califica, sin comentarios"
6,la unidad sigue en reparacion
8,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
6,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
6,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
8,"solo califica, sin comentarios"
8,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
8,actitud con su personal y sus asesores
10,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
8,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
8,numero que califica es equivocado
10,"solo califica, sin comentarios"
10,"solo califica, sin comentarios"
