calificacion,comentarios
6,pesimo servicio en la agencia
9,nos tardaron mas de 1 hora en recibir y no nos decian nada hasta que tuve que preguntar a la oficial
8,hace falta mas comunicacion con los asesores no contestan hasta 1_2 dias despues no contestan llamadas
8,no lo quisieron recibir
6,el asesor que me toco muy mala atencion la verdad y el trabajo que me hicieron en mi carro muy mal
8,"la recepcion del vehiculo bien, puntualidad en recepcion y entrega. lo unico que me gustaria consideraran es no dejar la basura de los empaques de las refacciones que se cambiaron, me las dejaron al interior de mi vehiculo sobre el asiento de copiloto , por otro lado , siento que me entregaron muy rapido y me dijeron que ya me podia retirar y habia un auto frente a mi por lo cual no podia salir y no habia nadie que estuviera al pendiente. simplemente me entregaron el vehiculo y se olvidaron de mi. hasta que alguien vio que necesitaba salir y me ayudaron a mover el coche."
6,"existe una situacion complicada, ya que me entregaron mi camioneta, con una pantalla rota y danada"
8,"la misma aplicacion me cambio la fecha que habia programado, por eso, di esa calificacion hice una cita por internet, me llamaron para decirme que la pagina estaba mal, me cambiaron la cita, di una fecha que fue el 7 de enero para llevar el vehiculo y despues me llegaron mensajes de que mi cita estaba agendada para el 6"
6,pedi que se cambiara el filtro de cabina y los wipers y no se hizo y no hubo contacto ni nada con el asesor
6,pesimo servicio en la agencia
6,"el servicio estuvo deficiente y no se hizo al 100% siendo que lo pague completo, la atencion pesima e incluso me sugirieron el cambio de algunas cosas mismas que acepte que se las cambiaran pese a que me dijeron que me enviarian la cotizacion el mismo dia que entro la unidad y si no es porque se los pedi al dia siguiente nuevamente no me lo envian, me envian una cotizacion de otra unidad, les notifico y me envian por fin la de mi unidad"
10,muy bien
6,"por este medio pongo mi queja que lleve mi camioneta a servicio no me dieron la horientacion adecuada y a su vez me estoy dando cuenta el dia de hoy que cambiaron mis limpiadores que los habia cambiado en el mes de noviembre y me pusieron unos rotos del hule y del cuerpo de la pluma, los invito a que supervisen para que esto lo pase por que la mala imagen se queda para la empresa. pd ojala no me hayan cambiado otras cosas"
6,unidad se entrego sucia
6,"el servicio pesimo, atencion nefasta"
6,no me han resuelto mi problema
8,muy probable pero carisimo
6,"se tardan mucho para recibir y entregar a pesar de hacer cita, y par la entrega de la factura es muy burocratico su proceso"
8,"manifiesto que no tienen personal para atender oportunamente la demanda de servicios. no realizan valoraciones (escaneos) a las unidades, pese a las observaciones que se les hacen al present"
8,el carro se entrego hora y media despues de lo pactado.
6,"me regresaron el coche con unas gotitas de pintura blanca alrededor de toda mi unidad 😰, me dijeron que me contactarian para darle seguimiento al caso y la pudiera llevar para que las quiten. fue el unico inconveniente que hubo, fuera de ahi, todo muy bien. 😊"
10,excelente muchas gracias
8,para empezar aun no tengo los archivos de la factura del servicio
6,reporto la guantera rota
8,"por que cuando he llevado el vehiculo no me dicen bien que es y exageran los precios e incluso los problemas que se presentan, ademas de que no dan facilidades para ingreso y egreso de los servicios"
8,"muy buenas tardes. el motivo es muy sencillo, por favor preguntele al jefe de servicio los porques? el ya envio un correo electronico solicitando apoyo para resolver dos pendientes de la captiva que llevamos a servicio. es importante senalar que soy su cliente desde hace mas de 10 anos. mi esposa con sus dos aveos 2014 y 2022. mi hijo con su captiva 2023. seguimos en contacto."
6,"nada probable que recomiende la agencia, ni el vehiculo"
8,aun esta en el distribuidor
10,todo muy bien
8,la atencion en general es buena pero hay puntos que fallan y empanan todo lo demas
8,no le quisieron hacer el servicio que solicito y solicito su factura y no le contestan enviarla al correo diazl@gta-mex.com
10,todo estuvo perfecto
10,sensor diagnostico de suspencion fu muy tardado solo califica a la asesora
6,la unidad sigue en reparacion
8,"es un pequeno detalle, que por aplicacion me informaron que mi coche ya estaba listo y fui a la agencia y al llegar me dicen que aun no esta, . que no esta sincronizada la aplicacion con la realidad del servicio. en todo caso por favor sincronicen el informe para que no vaya uno en vano"
8,"seria muy probablemente porque sus precios son altos, y tardados"
8,actitud con su personal y sus asesores
8,numero que califica es equivocado
6,hizo falta cambio que traia en el porta vasos
6,tiempo de espera.atencion al cliente consultor no proporciona informacion servicio de entrega carro sucio cuando se paga lavado premium
8,no dije que no lo haria.
6,0 no lo recomendaria
6,"porque su servicio es muy malo, mi coche estuvo mas de tres meses y el seguimiento fue pesimo"
6,"no cumplen con las fechas de entrega, no hay seguimiento de las reparaciones de los asesores, me dejaron mal mi vehiculo y todavia me cobraron por arreglar lo que no repararon, en general muy mala experiencia"
10,"todo el personal tiene 10 de calificacion, estan comprometidos con la satisfaccion del cliente. felicidades"
6,mala atencion en el depto. de recepcionista de servicio
10,"fui atendido por eduardo como asesor, me mantuvieron enterado en todo momento de mi unidad. me hizo saber de las posibles reparaciones adicionales que reportaban enterado la revision de los 25 puntos de seguridad. me aviso muy oportunamente cuando estaba listo mi vehiculo para poder acudir a recogerlo. me explico los trabajos realizados y me hizo entrega satisfactoria. gracias eduardo 👍🏻"
6,mi camioneta prresenta una falla y 2 veces la he llevado a garantia y no se resuleve le problema
6,la unidad no estaba lavada
10,eduardo caloca super atento y quede muy satisfecha
8,le entrengaron su unidad sucia
10,"quiero felicitar a las personas que hicieron el diagnostico a mi camioneta, pues fueron muy precisos y ahora mi camioneta esta al 100."
6,"puntualidad es los tiempos de atencion y de entrega, aclarar los horarios de recepcion y entrada dejarlos bien claros a verificar que su cliente los entienda correctamente, verificar los trabajos realizados"
6,le entregaron en viernes su unidad y el sabado se le prendio el check
10,todo bien
10,todo muy bien
10,todo muy bien
10,todo muy bien
10,todo muy bien
10,"fue buena experiencia,excelente atencion"
10,todo bien
10,todo bien
10,todo bien
9,todo bien
10,todo excelente
10,excelente servicio
8,"bien por el momento, solo dar citas concretas no estar reagendando"
10,todo bien con amabilidad
10,"buena atencion, excelente trato"
10,todo muy bien
6,muy tardada la entrega.
9,todo bien
10,todo bien
10,solo tiempo de entrega
10,todo muy bien
10,todo bien
10,todo muy bien
9,todo muy bien
10,"la atencion por atencion a clientes fue buena, por parte de mi asesor nunca tuve comunicacion continua"
10,todo muy bien
10,la comunicacion telefonica via conmutador.
10,todo bien
9,tener mas coordinacion en las fechas citas
10,todo bien
9,todo bien
10,todo bien
10,todo igual
10,todo bien
10,excelente servicio
10,todo estuvo bien
9,tratar de incluir en el servicio la revision de adicionales mencionados al ingreso de unidad
10,siempre nos atienden bien
10,todo bien
10,todo muy bien
9,atencion mas rapida
10,todo muy bien
10,todo bien
10,excelente atencion
10,todo muy bien
10,todo bien
10,"todo bien, excelente"
10,todo bien
10,"todo muy bien ,el trato y atencion"
4,"falta de orientacion hacia el mantenimiento requerido,asi como perdida de tiempo ya que no le realizaron lo solicitado sobre los inyectores"
10,todo bien
0,"todo hay que cambiar hasta el gerente, falta de comunicacion e nformacion"
10,todo muy bien
9,hacer valida la garantia cuando es necesaria
10,todo muy bien
10,todo bien
9,todo muy bien
10,todo muy bien todo cordial el servicio
9,todo bien por el momento
10,todo muy bien
9,todo bien
10,todo bien
10,todo bien
10,todo bien
10,todo muy bien
10,todo mu bien
10,todo bien
9,deben entregar las unidades mas rapido
10,todo bien
10,en general estuvo bien la visita
10,puntualidad y buena atencion
8,buena atencion
10,todo muy bien
10,satisfactrio
10,todo bien
10,todo muy bien
10,todo muy bien
9,todo muy bien
10,todo bien
10,excelente atencion
10,todo muy bien
10,todo muy bien
10,trabajo realizado
9,seria bueno que la comunion el cliente fuera mas directa para aclarar duda
10,muy rapido la atencion y amables
10,todo bien
10,muy buena atencion y servicio
10,todo bien
10,todo bien
10,todo bien
10,el asesor siempre me atiende de maravilla
10,muy buena atencion y asesoria
10,todo bien
10,"todo bien,solo la disponibilidad de citas"
9,todo bien
10,todo bien
10,todo bien
10,todo bien
10,la atencion es excelente
10,todo bien
10,trabajo realizado a la perfeccion
10,todo muy bien
10,todo bien
10,todo bien
10,excelente servicio
10,excelente servicio
10,todo muy bien
9,la amabilidad y calidad en el servicio
10,excelente servicio
10,el excelente servicio y atencion
10,muy bien
10,todo bien
10,todo bien
10,todo fue en tiempo y forma
10,todo muy bien
10,recomendacion al personal excelente.
9,todo bien
10,todo super bien
10,servicio de excelencia
10,todo bien
10,todo bien
10,todo bien
9,tiempo de entrega
10,todo muy bien
10,todo bien
10,todo bien
10,"ni ganas,todo esta en orden"
10,todo bien
10,buena la atencion y felicidades por el servicio
10,todo muy bien buena atencion
10,todo bien
10,checar la aplicacion donde informan que la unidad ya esta lista cuando aun no esta terminada en servicio
10,todo muy bien
10,todo bien
9,todo bien
10,todo bien
10,todo muy bien
10,excelente
9,que desde un principio desglozemos la informacion sobre el servicio
10,excelente todo
10,excelente atencion
8,son muy altos los costos
10,todo estuvo excelente
10,todo bien
10,todo bien
9,ser puntuales en recepcion de unidad
10,los servicios son rapidos y de calidad
4,entiendo de entreg
8,"el servicio esta bien ,los costos muy caros"
10,todo bien
10,todo muy bien
10,el lavado le falta
8,muy buena
10,ser mas puntuales
5,no le gusto el servicio
10,muy atento el asesor fernando
10,son amables y siempre me han tratado bien
10,excelente
8,tener mas atencion con el cliente al recibir unidad y brindar informacion del servicio
10,todo muy bien
10,todo bien
10,todo excelente solo mejorar tiempos de entrega
10,todo bien
8,esta vez estuvo bien
10,siempre me han atendido muy bien
10,todo bien
8,tiempos de entrega
10,todo bien
10,todo bien msolo llamar a tiempo para los servicios
10,excelente atencion
10,el servicio es puntual y amable
1,unudadmingresa con danos desde servicios pasados y no detectaron nada ahora que se termina garantia le encuentran la falla
10,todo bien
10,muy buena atencion
6,"mi asesor no me dio seguimiento ni me informo de cuando estaria lista mi unidad, a la entrega esta muy sucia y pague lavado premium."
8,los procesos en tema de refacciones tardan mucho
10,excelente
10,puntualidad y el tratovon los clientes
10,todo bien
10,todo bien
10,todo bien
8,"la atencion de quien me entrego la unidad estuvo bien, pero deberian tener una planta cuando no tengan luz,espere mucho tiempo para mi entrega y la limpieza no estuvo muy bien"
10,muy buen servicio siempre nos dan
10,hasta el momento todo esta bien
10,todo muy bien
10,atencion a clientes
10,todo bien
9,todo bien
10,todo bien
10,no poner tantas trabas cuando llamamos para pedir con el asesor
10,todo bien
10,los precio accesibles
10,muy buen servicio siempre nos dan
10,todo muy bien
10,muy buena atencion
10,todo bien
10,siempre excelente
10,buen trato al cliente
10,todo esta bien
9,no estuvo mi asesor y me atendio otra persona y no me dio horario de entrega
9,volver a realizar los servicios mas rapidos
8,todo bien
9,todo esta muy bien
10,muy bien
10,ojala los tiempos fueran mas agiles son buenos pero en el sentido servicio so es rapido
10,todo bien con el servicio
8,tiempos de entrega
10,todo bien
10,todo bien
10,todo bien
10,el buen trato a los clientes
10,mantener la buena atencion al cliente
10,todo bien
10,excelente servicio por parte del personal
10,buen servicio y atencion
10,excelente atencion
6,la atencion muy buena
10,todo correcto en la entrega
10,todo bien
10,mantener los buenos servicios realizados al coche
10,muy buen servicio
10,todo excelente
10,muy satisfecho con su servicio
10,nada todo esta perfectamente
9,todo bien
10,"poner mas atencion en las peticiones del cliente,pedi que me acomodaran la goma del parabrisas y no lo realizaron."
10,excelente atencion
10,buena atencion de los consultores
10,todo muy bien
9,todo bien
10,todo bien
10,todo bien
10,todo bien
10,todo muy bueno
10,agilizar entrega
10,amabilidad
10,todo bien
10,todo bien
10,continuar con la atencion recibida
9,mejorar los tiempos de entrega
10,bajar precios
10,excelente atencion
10,todo muy bien
10,todo bien
10,"muy bien, la atencion por la srta monserrat gutierrez fue excelente. gracias"
10,todo muy bieb
10,todo muy bien
10,todo bien
10,todo bien
10,"excelente servicio, todo muy bien"
8,tiempos de entrega
10,puntualidad con el servicio
10,seguir innovando el servicio esecelente
6,"vi un golpe que yo recuerdo no traerlo,y en sus fotos no se nota muy bien"
10,todo muy bien
10,siempre son muy amables.
10,todo excelente
10,mantener buen servicio
10,buena atencion para los clientes
10,todo bien
10,buen seguimiento de las unidades
10,todo bien
10,muy bien
10,todo bien
10,todo bien
10,excelente servicio de todo el personal
8,bien
10,todo muy bien
5,pesimo servicio de limpieza y la notificacion de que la unidad ya estaba lista y al llegar me indicaron que aun no
10,todo bien
7,mostrar el aceite que retiraron
10,todo bien
9,explicar mejor los adicionales y sus alcances
10,todo excelente
10,"la atencion de algunos trabajadores que es buena, de otros no tanto"
10,muy bien
