calificacion,comentarios,Clasificacion,longitud
6,preguntar a fernanda sobre los conarios del cliente,Detractor,51
10,todo perfecto,Promotor,13
6,califica por hyp en cuanto a servicio todo bien,Detractor,47
8,estaria genial q tuvieran servicio de pasar por la unidad al domicilio,Neutro,70
6,el carro me lo entregan en 5minutospero pagar mas de media horatres cajas una para ricos y dos para mortales los cajeros parecen burocratas,Detractor,139
6,pues no te alegres porque me pusieron otros tapetes mas viejos que los mios como reclamo,Detractor,88
10,todo bien,Promotor,9
8,en la entrega no dan detalles de lo que se realizo ni oportunidad de resolver dudas del servicio y dejaron el interior del carro lleno de producto grasoso,Detractor,154
6,le entregaron la unidad con un golpe en la parte trasera y no le notificaron se dio cuenta hasta que llego a su domicilio pide estatus de otra unidad que tiene pendiente por motor,Detractor,179
8,no hubo seguimiento no fueron proactivos,Detractor,40
10,les doy un 10,Promotor,13
10,todo excelente,Promotor,14
6,buena atencion noquiere dar mas comentarios referente a su calificacion,Detractor,71
8,tener mas disponibilidad de citas y concretar rapido la cita se tardaban mucho para confirmarla,Neutro,95
10,todo muy bien solo tiene pendiente una cortesia por parte de ventas y pide se le haga valida,Promotor,92
10,muy buena la atencion de su consultora,Promotor,38
10,todo muy bien,Promotor,13
8,los tiempos de respuesta de diagnostico,Neutro,39
6,el trato es excelente pero la unidad sigue presentando la misma fuga a pesar de haberse realizado 3 reparaciones y le entregaron la unidad con rayones,Detractor,150
8,la unidad sigue en el distribuidor,Neutro,34
10,todo bien,Promotor,9
6,seguimiento con el cliente y no responden telefonos,Detractor,51
8,la limpieza premium en estas dos ultimas ocasiones notamos que no a sido buena los vidrios estan sucios de la parte de arriba y los botones de la parte del tablero se ven con polvo y mugre,Detractor,188
10,todo bien,Promotor,9
10,todo bien,Promotor,9
10,contesto la encuesta,Promotor,20
10,todo bien,Promotor,9
6,la asesora que me atendio no le dio seguimiento a mi cotizacion,Detractor,63
8,lavado pendiente la unidad de esta deteriorando y no le hicieron valida la garantia,Neutro,83
10,todo muy bien,Promotor,13
6,estuvo regular porque tuve que pagar para que me dejaran bien mi carro y tardan muchisimo tiempo para una reparacion dos meses estubo mi carro adentro por una reparacion sencilla porque no fue un golpe muy fuerte,Detractor,212
6,l recepcionar mi de mi vehiculo la persona que me recibio no dio el saludo no me dio su nombre,Detractor,94
10,no tengo ninguna queja por el contrario desde la atencion por parte del personal hasta la puntualidad con la que se dirigio a mi el agente eduardo arroyo en todo momento para resolver todas mis dudas la experiencia es sumamente satisfactoria,Promotor,241
6,jamas regresaria ahi prefiero ir con otro concesionario ya que jamas se comunican y cuando uno quiere hablar jamas hay quien atienda la llamada,Detractor,143
10,todo bien no le han enviado su cotizacion del deflector de calor,Promotor,64
10,todo bien,Promotor,9
10,todo bien en el servicio pero la unidad esta nuevamente en el distribuidor,Neutro,74
8,entiende la saturacon pero la entrega fue tardada,Detractor,49
6,trae encendido el testigo de neumaticos,Detractor,39
10,todo bien,Promotor,9
10,solo valifica sin comentarios,Neutro,29
10,todo bien,Promotor,9
10,ya habia contestado otra encuesta en donde di la mejor calificacion,Neutro,67
10,reconoci y felicito el trabajo del asesor,Promotor,41
8,mas cominicacion,Neutro,16
6,el asesor muy muy amable pero el servicio de la agencia es muy muy malo ninguna agencia toma 5 dias de diagnostico solo ustedes las agencias chevrolet todas con un servicio muy lento para todo,Detractor,192
6,son unos rateros,Detractor,16
6,con el distribuidor 8,Neutro,21
10,todo en orden,Promotor,13
6,no hay hostess ni ofrecen amenidades como en nissan no tienen lineamiento ni indicacion por atender al cliente cita 9 30 observa en el ultimo sillon un cabello en el piso y a las 3 45pm vuelve a estar ahi la de vigilancia de color caqui una senorita de color negro y una persona ma en la entrada platicando en el puesto de cafe hay muchos trabajadores deberian retirar al del cafe de ahi una persona mas ofreciendo sus productos a los trabajadores habia una lata en su unidad era de el pero no la retiraron en el lavado una srta mostrando unas esferas luminosas distrayendo a los trabajadores no le explicaron correctamente la rotacion de ruedas lo que le da a entender que no saben como se hace,Detractor,695
6,revisando el detalle facturado me cobraron cosas que yo no pedi y que el que me atendio me dijo que eran gratis me refiero al lavado y ceramico,Detractor,143
8,la eficiencia en la reparacion de fallas reportadas para que no tenga que regresar 2 o 3 veces por el mismo problema,Detractor,116
10,todo bien,Promotor,9
10,todo bien excelente atencion,Promotor,28
10,no todo bien,Promotor,12
9,todo bien,Promotor,9
10,ninguna todo bien,Promotor,17
10,muy bien,Promotor,8
10,la calidad del servicio,Promotor,23
9,todo muy bien,Promotor,13
9,no todo bien,Promotor,12
10,es muy buen servicio,Promotor,20
10,no estuvo bien muy a gusto,Promotor,26
10,todo bien,Promotor,9
10,buen servicio,Promotor,13
9,todo bien,Promotor,9
10,no todo bien,Promotor,12
10,muy buen servicio excelente,Promotor,27
10,esta ocasion muy excesivo la informacion para servicio pero todo bien,Promotor,69
10,no todo excelente,Promotor,17
10,todo excelente,Promotor,14
10,no todo bien,Promotor,12
10,muy buena,Promotor,9
10,todo bien,Promotor,9
10,no todo bien,Promotor,12
10,todo muy bien,Promotor,13
9,solo en la entrada se hace mucha fila,Neutro,37
9,todo bien,Promotor,9
10,nada todo bien,Promotor,14
10,todo bien,Promotor,9
9,todo bien,Promotor,9
10,muy bien,Promotor,8
10,buen servicio,Promotor,13
10,es la segunda vez que vengo y todo correcto,Promotor,43
9,todo bien,Promotor,9
10,muy eficiente,Promotor,13
10,todo muy bien,Promotor,13
10,muy bien,Promotor,8
9,ser mas informativos con el cliente dar mas seguimiento,Neutro,55
10,me atendio excelente la srta monserrat,Promotor,38
10,hasta ahorita todo bien excelente,Promotor,33
10,ninguna todo bien,Promotor,17
10,todo bien solo ser mas puntuales al recibir la cita,Neutro,51
10,me han atendido muy bien desde la primera vez,Promotor,45
10,buen servicio,Promotor,13
10,no estuvo excelente el servicio,Promotor,31
10,no ningun todo bien,Promotor,19
10,todo bien,Promotor,9
10,no muy buena atencion,Promotor,21
10,todo bien,Promotor,9
10,siempre he venido aqui con ustedes todo bien,Promotor,44
10,todo bien,Promotor,9
10,todo bien,Promotor,9
10,por parte del asesor excelente atencion,Promotor,39
10,no esta todo muy bien,Promotor,21
9,todo bien,Promotor,9
10,todo bien,Promotor,9
10,todo muy bien,Promotor,13
10,no todo perfecto,Promotor,16
10,tiempos de entrega,Neutro,18
10,muy buena,Promotor,9
10,quede satisfecho,Promotor,16
10,no ninguna todo bien,Promotor,20
10,todo bien,Promotor,9
10,no todo muy cumplido,Promotor,20
10,mumiy buen servicio en todo,Promotor,27
10,todo muy bien,Promotor,13
10,todo bien,Promotor,9
9,todo bien,Promotor,9
8,excelente,Promotor,9
9,todo bien,Promotor,9
10,nada todo muy bien,Promotor,18
10,no todo esta muy bien,Promotor,21
10,todo bien,Promotor,9
10,nos atendieron muy bien,Promotor,23
9,muy bien gracias,Promotor,16
10,solo es chico de la caja muy grosero lo demas muy bien,Neutro,54
10,muy puntuales,Promotor,13
10,todo estuvo perfecto esta muy bien,Promotor,34
10,siempre me atienden muy bien,Promotor,28
10,muy buena siempre me atiende bien no me agrado el lavado,Promotor,56
