calificacion,comentarios,Clasificacion,longitud
6,solicita factura y falta de seguimiento de su consultora yazareth,Detractor,65
0,mala atencion por parte de control de calidad fue muy grosera,Detractor,61
6,no muetran las piezas que cambian tardan muchos dias en diagnostico,Detractor,67
6,de gm no reconmdaria nada,Detractor,25
8,agilisar el resivo de las unidads creo nos ayudaria mucho,Detractor,57
8,entregas mas agiles,Neutro,19
0,reporta golpes en carroceria faro roto y vestiduras sucias,Detractor,58
8,el tiempo de respuesta de los mensajes,Neutro,38
10,comenta que su unidad sigue presentando la misma falla por la que ingreso al distribuidor,Neutro,89
8,mejor calidad del producto el servicio y el personal 10,Detractor,55
9,no tardar tanto en enviar presupuestos,Neutro,38
0,se me hace absurdo que pague mas de 14 mil pesos en un servicio y paquete premium y la unidad me la hayan entregado demasiado sucia juan zarate,Detractor,143
10,la unidad quedo grasosa de los interiores luis fernando,Promotor,55
0,reporta golpes en carroceria faro roto y vestiduras sucias,Detractor,58
10,todo muy bien,Promotor,13
9,solo 9 no tiene comentarios,Neutro,27
10,todo muy bien,Promotor,13
9,nada todo bien,Promotor,14
8,ya estaba en camino y le dijeron que la unidad aun no estaba lista le entregaron despues de la hora acordada,Detractor,108
8,no hacer presupuestos tan inflados de reparaciones que ademas no urgen,Detractor,70
10,todo muy bien,Promotor,13
10,todo bien,Promotor,9
8,tardaron en entregarle la unidad,Neutro,32
10,todo bien en el servicio tiene pendientes sus placas,Promotor,52
8,sugiere agregar fotos de ras refacciones remmplazadas como prueba de que si le colocaron nuevas piezas,Detractor,102
10,todo muy bien,Promotor,13
10,todo bien pero la mano de obra es muy cara,Promotor,42
8,en su segunda visita todo mejoro y califica con10,Promotor,49
10,todo bien,Promotor,9
10,muy recomendable el servicio sobre todo la atencion del valet es muy comodo enviar los autos asi,Promotor,96
0,nunca me contestaron el telefono,Detractor,32
8,por la noche ese mismo dia me empezo a fallar la direccion una muy desafortunada coincidencia 😐,Detractor,95
8,tuvieron que regresar porque la unidad seguia sacando humo del escape regreso al distribuidor y lo repararon,Detractor,108
10,todo estuvo en orden,Promotor,20
10,todo bien,Promotor,9
10,confirma calificacion de 10 aunque le hes molesto que le llamen para hacer otra encuesta,Detractor,88
10,todo salio bien,Promotor,15
10,todo estuvo bien,Promotor,16
6,reporta retrovisor roto,Detractor,23
10,todo estuvo muy bien,Promotor,20
10,todo muy bien,Promotor,13
10,todo estuvo muy bien,Promotor,20
10,todo perfecto,Promotor,13
10,todo bien,Promotor,9
10,todo bien,Promotor,9
10,solo dejaria como observacion que no sellaron mi poliza el dia de mi servicio me la sellaron el dia de hoy y respecto al lavado es la segunda vez y no esta bien lavado ademas de que los asientos no los dejan como cuando ingreso la unidad admon lavador,Neutro,251
10,todo muy bien,Promotor,13
6,le querian cobrar mas sin haber autorizado,Detractor,42
8,el lavado de cortesia pienso que deberia ser mejor admon lavador,Neutro,64
10,todo muy bien,Promotor,13
10,todo estuvo perfecto,Promotor,20
10,todo estuvo perfecto,Promotor,20
10,todo estuvo muy bien,Promotor,20
10,en el ultimo servicio si los recomiendo pero en el anterior del 05 de abril me quedo con una sensacion de que no se le da el seguimiento adecuado,Promotor,145
6,mal trato por parte del personal tardaron en recibir la unidad el vehiculo estaba sucio por dentro juan zarate,Detractor,110
10,todo estuvo perfecto,Promotor,20
6,la unidad sigue en el distribuidor,Neutro,34
6,comenta que lo atendieron tarde y le quisieron vender algo que no necesitab a,Detractor,77
10,todo esta bien hasta el momento,Promotor,31
0,lo mensione en la encuesta de la agencia,Detractor,40
9,cajas mas eficientes y solicita factura,Neutro,39
8,no le mostraron el servicio realizado ni revisaron las cosas que reporto,Detractor,72
8,comenta que tuvo inconveniente con el lavado que se realizo y ya lo reporto con alguien mas luis fernando,Neutro,105
10,todo estuvo en orden,Promotor,20
10,todo estuvo excelente,Promotor,21
9,excelente atencion,Promotor,18
10,excelente por hoy siempre son muy atentos y amables,Promotor,51
10,todo bien todo perfecto,Promotor,23
10,todo bien,Promotor,9
10,toda esta perfecto,Promotor,18
10,muy buen servicio,Promotor,17
10,todo bien,Promotor,9
10,todo muy bien,Promotor,13
10,es muy linda mi asesora,Promotor,23
10,muy buen servicio,Promotor,17
10,excelente,Promotor,9
10,el servicio todo bien solo que no pudieron hacer mi estetica interior,Neutro,69
