,calificacion,comentarios,Clasificacion
0,6,pesimo servicio en la agencia,
1,9,nos tardaron mas de 1 hora en recibir y no nos decian nada hasta que tuve que preguntar a la oficial,
2,8,hace falta mas comunicacion con los asesores no contestan hasta 1_2 dias despues no contestan llamadas,
3,8,no lo quisieron recibir,
4,6,el asesor que me toco muy mala atencion la verdad y el trabajo que me hicieron en mi carro muy mal,
5,8,"la recepcion del vehiculo bien, puntualidad en recepcion y entrega. lo unico que me gustaria consideraran es no dejar la basura de los empaques de las refacciones que se cambiaron, me las dejaron al interior de mi vehiculo sobre el asiento de copiloto , por otro lado , siento que me entregaron muy rapido y me dijeron que ya me podia retirar y habia un auto frente a mi por lo cual no podia salir y no habia nadie que estuviera al pendiente. simplemente me entregaron el vehiculo y se olvidaron de mi. hasta que alguien vio que necesitaba salir y me ayudaron a mover el coche.",
6,6,"existe una situacion complicada, ya que me entregaron mi camioneta, con una pantalla rota y danada",
7,8,"la misma aplicacion me cambio la fecha que habia programado, por eso, di esa calificacion hice una cita por internet, me llamaron para decirme que la pagina estaba mal, me cambiaron la cita, di una fecha que fue el 7 de enero para llevar el vehiculo y despues me llegaron mensajes de que mi cita estaba agendada para el 6",
8,6,pedi que se cambiara el filtro de cabina y los wipers y no se hizo y no hubo contacto ni nada con el asesor,
9,6,"el servicio estuvo deficiente y no se hizo al 100% siendo que lo pague completo, la atencion pesima e incluso me sugirieron el cambio de algunas cosas mismas que acepte que se las cambiaran pese a que me dijeron que me enviarian la cotizacion el mismo dia que entro la unidad y si no es porque se los pedi al dia siguiente nuevamente no me lo envian, me envian una cotizacion de otra unidad, les notifico y me envian por fin la de mi unidad",
10,10,muy bien,
11,6,"por este medio pongo mi queja que lleve mi camioneta a servicio no me dieron la horientacion adecuada y a su vez me estoy dando cuenta el dia de hoy que cambiaron mis limpiadores que los habia cambiado en el mes de noviembre y me pusieron unos rotos del hule y del cuerpo de la pluma, los invito a que supervisen para que esto lo pase por que la mala imagen se queda para la empresa. pd ojala no me hayan cambiado otras cosas",
12,6,unidad se entrego sucia,
13,6,"el servicio pesimo, atencion nefasta",
14,6,no me han resuelto mi problema,
15,8,muy probable pero carisimo,
16,6,"se tardan mucho para recibir y entregar a pesar de hacer cita, y par la entrega de la factura es muy burocratico su proceso",
17,8,"manifiesto que no tienen personal para atender oportunamente la demanda de servicios. no realizan valoraciones (escaneos) a las unidades, pese a las observaciones que se les hacen al present",
18,8,el carro se entrego hora y media despues de lo pactado.,
19,6,"me regresaron el coche con unas gotitas de pintura blanca alrededor de toda mi unidad 😰, me dijeron que me contactarian para darle seguimiento al caso y la pudiera llevar para que las quiten. fue el unico inconveniente que hubo, fuera de ahi, todo muy bien. 😊",
20,10,excelente muchas gracias,
21,8,para empezar aun no tengo los archivos de la factura del servicio,
22,6,reporto la guantera rota,
23,8,"por que cuando he llevado el vehiculo no me dicen bien que es y exageran los precios e incluso los problemas que se presentan, ademas de que no dan facilidades para ingreso y egreso de los servicios",
24,8,"muy buenas tardes. el motivo es muy sencillo, por favor preguntele al jefe de servicio los porques? el ya envio un correo electronico solicitando apoyo para resolver dos pendientes de la captiva que llevamos a servicio. es importante senalar que soy su cliente desde hace mas de 10 anos. mi esposa con sus dos aveos 2014 y 2022. mi hijo con su captiva 2023. seguimos en contacto.",
25,6,"nada probable que recomiende la agencia, ni el vehiculo",
26,8,aun esta en el distribuidor,
27,10,todo muy bien,
28,8,la atencion en general es buena pero hay puntos que fallan y empanan todo lo demas,
29,8,no le quisieron hacer el servicio que solicito y solicito su factura y no le contestan enviarla al correo diazl@gta-mex.com,
30,10,todo estuvo perfecto,
31,10,sensor diagnostico de suspencion fu muy tardado solo califica a la asesora,
32,6,la unidad sigue en reparacion,
33,8,"es un pequeno detalle, que por aplicacion me informaron que mi coche ya estaba listo y fui a la agencia y al llegar me dicen que aun no esta, . que no esta sincronizada la aplicacion con la realidad del servicio. en todo caso por favor sincronicen el informe para que no vaya uno en vano",
34,8,"seria muy probablemente porque sus precios son altos, y tardados",
35,8,actitud con su personal y sus asesores,
36,8,numero que califica es equivocado,
37,6,hizo falta cambio que traia en el porta vasos,
38,6,tiempo de espera.atencion al cliente consultor no proporciona informacion servicio de entrega carro sucio cuando se paga lavado premium,
39,8,no dije que no lo haria.,
40,6,0 no lo recomendaria,
41,6,"porque su servicio es muy malo, mi coche estuvo mas de tres meses y el seguimiento fue pesimo",
42,6,"no cumplen con las fechas de entrega, no hay seguimiento de las reparaciones de los asesores, me dejaron mal mi vehiculo y todavia me cobraron por arreglar lo que no repararon, en general muy mala experiencia",
43,10,"todo el personal tiene 10 de calificacion, estan comprometidos con la satisfaccion del cliente. felicidades",
44,6,mala atencion en el depto. de recepcionista de servicio,
45,10,"fui atendido por eduardo como asesor, me mantuvieron enterado en todo momento de mi unidad. me hizo saber de las posibles reparaciones adicionales que reportaban enterado la revision de los 25 puntos de seguridad. me aviso muy oportunamente cuando estaba listo mi vehiculo para poder acudir a recogerlo. me explico los trabajos realizados y me hizo entrega satisfactoria. gracias eduardo 👍🏻",
46,6,mi camioneta prresenta una falla y 2 veces la he llevado a garantia y no se resuleve le problema,
47,6,la unidad no estaba lavada,
48,10,eduardo caloca super atento y quede muy satisfecha,
49,8,le entrengaron su unidad sucia,
50,10,"quiero felicitar a las personas que hicieron el diagnostico a mi camioneta, pues fueron muy precisos y ahora mi camioneta esta al 100.",
51,6,"puntualidad es los tiempos de atencion y de entrega, aclarar los horarios de recepcion y entrada dejarlos bien claros a verificar que su cliente los entienda correctamente, verificar los trabajos realizados",
52,6,le entregaron en viernes su unidad y el sabado se le prendio el check,
53,10,todo bien,
54,10,"fue buena experiencia,excelente atencion",
55,10,todo excelente,
56,10,excelente servicio,
57,8,"bien por el momento, solo dar citas concretas no estar reagendando",
58,10,todo bien con amabilidad,
59,10,"buena atencion, excelente trato",
60,6,muy tardada la entrega.,
61,10,solo tiempo de entrega,
62,10,"la atencion por atencion a clientes fue buena, por parte de mi asesor nunca tuve comunicacion continua",
63,10,la comunicacion telefonica via conmutador.,
64,9,tener mas coordinacion en las fechas citas,
65,10,todo igual,
66,10,todo estuvo bien,
67,9,tratar de incluir en el servicio la revision de adicionales mencionados al ingreso de unidad,
68,10,siempre nos atienden bien,
69,9,atencion mas rapida,
70,10,excelente atencion,
71,10,"todo bien, excelente",
72,10,"todo muy bien ,el trato y atencion",
73,4,"falta de orientacion hacia el mantenimiento requerido,asi como perdida de tiempo ya que no le realizaron lo solicitado sobre los inyectores",
74,0,"todo hay que cambiar hasta el gerente, falta de comunicacion e nformacion",
75,9,hacer valida la garantia cuando es necesaria,
76,10,todo muy bien todo cordial el servicio,
77,9,todo bien por el momento,
78,10,todo mu bien,
79,9,deben entregar las unidades mas rapido,
80,10,en general estuvo bien la visita,
81,10,puntualidad y buena atencion,
82,8,buena atencion,
83,10,satisfactrio,
84,10,trabajo realizado,
85,9,seria bueno que la comunion el cliente fuera mas directa para aclarar duda,
86,10,muy rapido la atencion y amables,
87,10,muy buena atencion y servicio,
88,10,el asesor siempre me atiende de maravilla,
89,10,muy buena atencion y asesoria,
90,10,"todo bien,solo la disponibilidad de citas",
91,10,la atencion es excelente,
92,10,trabajo realizado a la perfeccion,
93,9,la amabilidad y calidad en el servicio,
94,10,el excelente servicio y atencion,
95,10,todo fue en tiempo y forma,
96,10,recomendacion al personal excelente.,
97,10,todo super bien,
98,10,servicio de excelencia,
99,9,tiempo de entrega,
100,10,"ni ganas,todo esta en orden",
101,10,buena la atencion y felicidades por el servicio,
102,10,todo muy bien buena atencion,
103,10,checar la aplicacion donde informan que la unidad ya esta lista cuando aun no esta terminada en servicio,
104,10,excelente,
105,9,que desde un principio desglozemos la informacion sobre el servicio,
106,10,excelente todo,
107,8,son muy altos los costos,
108,10,todo estuvo excelente,
109,9,ser puntuales en recepcion de unidad,
110,10,los servicios son rapidos y de calidad,
111,4,entiendo de entreg,
112,8,"el servicio esta bien ,los costos muy caros",
113,10,el lavado le falta,
114,8,muy buena,
115,10,ser mas puntuales,
116,5,no le gusto el servicio,
117,10,muy atento el asesor fernando,
118,10,son amables y siempre me han tratado bien,
119,8,tener mas atencion con el cliente al recibir unidad y brindar informacion del servicio,
120,10,todo excelente solo mejorar tiempos de entrega,
121,8,esta vez estuvo bien,
122,10,siempre me han atendido muy bien,
123,8,tiempos de entrega,
124,10,todo bien msolo llamar a tiempo para los servicios,
125,10,el servicio es puntual y amable,
126,1,unudadmingresa con danos desde servicios pasados y no detectaron nada ahora que se termina garantia le encuentran la falla,
127,10,muy buena atencion,
128,6,"mi asesor no me dio seguimiento ni me informo de cuando estaria lista mi unidad, a la entrega esta muy sucia y pague lavado premium.",
129,8,los procesos en tema de refacciones tardan mucho,
130,10,puntualidad y el tratovon los clientes,
131,8,"la atencion de quien me entrego la unidad estuvo bien, pero deberian tener una planta cuando no tengan luz,espere mucho tiempo para mi entrega y la limpieza no estuvo muy bien",
132,10,muy buen servicio siempre nos dan,
133,10,hasta el momento todo esta bien,
