calificacion,comentarios,clasificacion
9,todo bien,promotor
8,el tiempo de respuesta de los mensajes,neutro
10,"todo bien, excelente servicio",promotor
10,todo muy bien,promotor
8,solo corregir la plataforma de aviso de termino de servicio,neutro
10,me asesoraron del servicio todo muy bien,promotor
0,"no con el servicio con la marca por ello ,mi calificacion",detractor
9,entregar a tiempo,promotor
10,excelente todo,promotor
9,todo bien,promotor
6,envio de factura,detractor
10,amabilidad,promotor
10,todo bien,promotor
10,todo muy bien,promotor
10,todo bien,promotor
6,muy tardada la entrega.,detractor
9,todo bien,promotor
9,todo bien,promotor
9,los presupuestos son muy lentos,promotor
6,le entregaron una hora despues el servico fue muy bueno pero la atencion del consultor no fue la mejor,detractor
8,"manejar los horarios, a mi me citaron a una hora y me atendieron despues en mi primera cita",neutro
10,todo muy bien,promotor
10,todo bien,promotor
10,todo esta bien hasta el momento,promotor
8,tiempos de entrega,neutro
10,todo muy bien,promotor
5,"el asesor coyotzin no atendia mis llamadas y mensajes, el numero telefonico que tienen de atencion nunca contestan. para resolver el problema tuve q venir personalmente varias veces",detractor
8,mas especificos en sus costos,neutro
6,"dudo mucho pero mucho que le hayan cambiado el aceite/le toco cambio de aceite de motor y me mostraron como estaba el aceite antes y despues del servicio, y el aceite esta igual de obscuro, cuando el aceite deberia de ser transparente",detractor
10,todo muy positivo,promotor
7,mostrar el aceite que retiraron,neutro
10,todo muy bien,promotor
9,todo bien,promotor
10,todo bien,promotor
7,no hubo comunicacion por un tema con un birlo,neutro
8,desde el servicio pasado no me entregaron mis tapetes de mi unidad,neutro
10,seguir innovando el servicio esecelente,promotor
10,todo estuvo muy bien,promotor
10,todo muy bien,promotor
10,todo bien,promotor
10,muy buena la atencion de mi asesor segundo contacto 5663982289,promotor
10,excelente servicio,promotor
10,todo bien,promotor
9,"ninguna,todo bien",promotor
10,"todo muy bien,no quiso proporcionar correo ni numero celular",promotor
10,excelente servicio,promotor
8,la atencion en general es buena pero hay puntos que fallan y empanan todo lo demas,neutro
6,hable con su agente de servicio al clientes,detractor
10,todo bien,promotor
10,todo bien,promotor
